Time,GPS_X,GPS_Y,GPS_Z,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,Pos_X,Pos_Y,Vel_X,Vel_Y,Speed,Direction
1.0,200.66878642568633,-5.4999998226357105,0.5199105560159867,0.3984204479268063,-2.948694094445447e-05,9.40868373789793,-9.90290205095972e-07,0.031009781121166577,-2.94166149259968e-08,182.5921476990253,-5.00454897846299,1.8116480771453698,-0.049545379286681436,1.8123254398791562,-0.0038584182058276476
1.01,200.66878642568633,-5.4999998226357105,0.5199105560159867,0.39485426805700186,-2.983541395353922e-05,9.408469564984594,-8.455999114354361e-07,0.02800406900003966,-2.1224535762706047e-08,182.61028392251015,-5.005044433747628,1.81559661982594,-0.04954567764082097,1.816272518125038,-0.003858430366590861
1.02,200.66878642568633,-5.4999998226357105,0.5199105560159867,0.3921103554450137,-3.0164710183866723e-05,9.409942780241748,-6.965722878213541e-07,0.025004968575881054,-1.2616882786261718e-08,182.62845949422618,-5.005539892032272,1.81951772338039,-0.04954597928792281,1.820192173853892,-0.003858437595532204
1.03,200.66878642568633,-5.4999998226357105,0.5199105560159867,0.3901726447889843,-3.0473777104472498e-05,9.413014896249575,-5.43296806239162e-07,0.022023145725204255,-3.592379355942596e-09,182.64667418009222,-5.00603535334884,1.8234194498282799,-0.04954628402569385,1.824092465932805,-0.003858439653813959
1.04,200.66878642568633,-5.4999998226357105,0.5199105560159867,0.3890215958875045,-3.076161302332435e-05,9.417600923989584,-3.8587013050882555e-07,0.019068840868417616,5.848908093906439e-09,182.6649278256703,-5.006530817727177,1.8273096657871548,-0.04954659164182409,1.8279812579516468,-0.0038584363026364734
1.05,200.66878642568633,-5.4999998226357105,0.5199105560159867,0.388634428930142,-3.1027212107951394e-05,9.423619273148043,-2.2439681216557297e-07,0.01615183501583222,1.570540015981998e-08,182.68322035404964,-5.007026285194956,1.8311960100764562,-0.04954690191394517,1.831866185835964,-0.003858427304105026
1.06,200.66878642568633,-5.4999998226357105,0.5199105560159867,0.38898539453780157,-3.126955141124923e-05,9.430991446104011,-5.898961924357592e-08,0.013281419566420592,2.5974045582986698e-08,182.70155176342013,-5.0075217557775735,1.8350858640218342,-0.04954721460945928,1.8357546281593076,-0.0038584124220731385
1.07,200.66878642568633,-5.4999998226357105,0.5199105560159867,0.3900460627099085,-3.148748640241978e-05,9.439641585593419,1.1022884047445947e-07,0.01046637023338538,3.664889921520012e-08,182.71992212436348,-5.0080172294980425,1.8389863246489333,-0.049547529484323304,1.839653679343966,-0.0038583914238006505
1.08,200.66878642568633,-5.4999998226357105,0.5199105560159867,0.3917856321844726,-3.1680094039591864e-05,9.449495928710736,2.8312724155665377e-07,0.007714925320136924,4.7723572338652666e-08,182.73833157689157,-5.008512706376891,1.842904180970778,-0.0495478462852637,1.8435701259542807,-0.0038583640802078672
1.09,200.66878642568633,-5.4999998226357105,0.5199105560159867,0.39417124518036606,-3.184635565311571e-05,9.460482219804607,4.595636069724881e-07,0.005034768469983289,5.9189832233231795e-08,182.75678032726353,-5.009008186432061,1.8468458934225818,-0.049548164748820234,1.847510426136164,-0.0038583301669320967
1.1,200.66878642568633,-5.4999998226357105,0.5199105560159867,0.39716830790755697,-3.198506526855137e-05,9.472529125089283,6.393839087479326e-07,0.0024330158824929053,7.103599888942067e-08,182.77526864461313,-5.009503669678802,1.8508175765016572,-0.04954848459947292,1.8514806922605411,-0.003858289466302798
1.11,200.66878642568633,-5.4999998226357105,0.5199105560159867,0.4007408048940474,-3.2095283569460214e-05,9.485565687832487,8.22423161396347e-07,-8.379209749692885e-05,8.324966210382686e-08,182.7937968574184,-5.0099991561295605,1.8548249845505977,-0.04954880555230862,1.8554866767090477,-0.003858241767759954
1.12,200.66878642568633,-5.4999998226357105,0.5199105560159867,0.4048516072954286,-3.217600335667e-05,9.499520852751747,1.0085039964632826e-06,-0.0025096952121727526,9.58167240027283e-08,182.8123653498443,-5.010494645793884,1.858873500623552,-0.049549127312342185,1.8595337607416202,-0.003858186868821033
1.1300000000000001,200.66878642568633,-5.4999998226357105,0.5199105560159867,0.4094627675871223,-3.222607611511239e-05,9.514323082456658,1.1974350749182853e-06,-0.00483931360223072,1.0871988195496964e-07,182.83097455798892,-5.010990138678311,1.8629681282994233,-0.04954944957310334,1.8636269463099244,-0.0038581245769171812
1.1400000000000001,200.66878642568633,-5.4999998226357105,0.5199105560159867,0.41453579853524924,-3.224461678524379e-05,9.529900080180532,1.3890123017575045e-06,-0.007067844513222177,1.2194125878735953e-07,182.84962496606184,-5.011485634786274,1.8671134862847758,-0.04954977201927119,1.867770850659591,-0.0038580547097224107
1.1500000000000001,200.66878642568633,-5.4999998226357105,0.5199105560159867,0.4200319336824079,-3.223054836932741e-05,9.54617862615054,1.5830168005439634e-06,-0.00919105575150783,1.3546019552250018e-07,182.86831710252136,-5.0119811341179945,1.8713138056215999,-0.04955009432475488,1.8719697035362477,-0.0038579770967474562
1.16,200.66878642568633,-5.4999998226357105,0.5199105560159867,0.42591236751220973,-3.218293978411264e-05,9.563084528565842,1.77921545759742e-06,-0.011205276267371079,1.4925456238867125e-07,182.88705153619597,-5.012476636670389,1.875572929296722,-0.04955041615415272,1.8762273467924233,-0.0038578915801824767
1.17,200.66878642568633,-5.4999998226357105,0.5199105560159867,0.4321384739063793,-3.2100830724571375e-05,9.580542684682301,1.9773601416173994e-06,-0.013107384250481314,1.6330018116285369e-07,182.90582887241263,-5.012972142436972,1.8798943140357858,-0.04955073716245997,1.8805472361781879,-0.0038577980160707332
