Iteration,Vehicle Speed,Worker Location,Final Spacing,Result
1,20.0,"280.0, -1.85, 1.27",2.92,True Positive
2,16.29,"281.93, 0.15, 1.27",2.0,True Positive
3,8.6,"281.45, -2.85, 1.27",4.84,True Positive
4,5.81,"281.19, 0.34, 1.27",8.01,False Positive
5,3.3,"280.35, -3.91, 1.27",10.39,False Positive
6,7.14,"277.77, -2.55, 1.27",6.4,True Positive
7,7.69,"275.14, -3.37, 1.27",5.94,True Positive
8,9.59,"293.55, 1.54, 1.27",4.57,True Positive
9,11.66,"272.84, -1.45, 1.27",0.95,False Negative
10,2.0,"275.07, -3.92, 1.27",11.48,False Positive
11,7.18,"285.81, -9.25, 1.27",8.48,False Positive
12,13.92,"276.24, -3.09, 1.27",1.24,False Negative
13,6.93,"286.13, -1.3, 1.27",6.72,False Positive
14,13.0,"286.69, -1.22, 1.27",0.64,False Negative
15,10.27,"268.02, -5.08, 1.27",4.0,True Positive
16,8.43,"281.0, -5.61, 1.27",5.81,True Positive
17,5.71,"281.92, -1.13, 1.27",7.93,False Positive
18,17.17,"279.04, 5.55, 1.27",7.4,False Positive
19,11.23,"278.8, -2.36, 1.27",1.38,False Negative
20,10.28,"281.37, -2.18, 1.27",2.79,True Positive
21,17.91,"274.15, 0.13, 1.27",1.99,True Positive
22,12.99,"273.98, -0.81, 1.27",1.04,False Negative
23,16.0,"275.51, -2.92, 1.27",1.07,False Negative
24,6.39,"283.25, 0.95, 1.27",7.52,False Positive
25,8.51,"289.78, -1.35, 1.27",4.84,True Positive
26,11.5,"279.23, -4.72, 1.27",2.94,True Positive
27,5.33,"278.48, -0.89, 1.27",8.36,False Positive
28,6.16,"279.71, 0.61, 1.27",7.65,False Positive
29,3.02,"286.98, -5.53, 1.27",10.71,False Positive
30,14.0,"276.15, -0.93, 1.27",0.92,False Negative
31,7.12,"285.93, -7.61, 1.27",7.73,False Positive
32,8.85,"283.08, -6.19, 1.27",5.75,True Positive
33,7.34,"282.82, -3.09, 1.27",6.21,True Positive
34,8.99,"275.14, -3.91, 1.27",4.56,True Positive
35,10.14,"278.43, -3.06, 1.27",3.11,True Positive
36,5.89,"276.8, -5.06, 1.27",8.1,False Positive
37,2.15,"284.46, -0.69, 1.27",11.33,False Positive
38,5.73,"274.58, -5.68, 1.27",8.32,False Positive
39,5.9,"280.52, -6.32, 1.27",8.28,False Positive
40,10.49,"279.44, -9.1, 1.27",7.26,False Positive
41,12.97,"281.08, 2.11, 1.27",3.96,True Positive
42,10.14,"279.16, 1.95, 1.27",4.45,True Positive
43,18.86,"280.36, -0.16, 1.27",1.69,False Negative
44,15.28,"274.85, 1.68, 1.27",3.53,True Positive
45,13.74,"275.98, 2.24, 1.27",4.1,True Positive
46,9.29,"288.41, 1.29, 1.27",4.72,True Positive
47,6.61,"289.03, -2.63, 1.27",7.05,False Positive
48,15.09,"275.12, -0.48, 1.27",1.38,False Negative
49,14.33,"293.12, -3.08, 1.27",1.23,False Negative
50,14.32,"278.19, -1.13, 1.27",0.73,False Negative
51,10.55,"275.01, -1.94, 1.27",2.26,False Negative
52,9.57,"289.35, -1.37, 1.27",3.65,True Positive
53,5.36,"291.06, 2.52, 1.27",8.76,False Positive
54,8.65,"274.4, 0.26, 1.27",5.07,True Positive
55,7.77,"282.26, -0.52, 1.27",5.78,True Positive
56,5.82,"282.09, -3.09, 1.27",7.95,False Positive
57,2.0,"279.18, 5.55, 1.27",11.76,False Positive
58,4.62,"272.9, -1.3, 1.27",9.11,False Positive
59,3.61,"283.0, -3.73, 1.27",10.04,False Positive
60,13.85,"278.34, -3.65, 1.27",1.8,False Negative
61,5.87,"285.54, -1.15, 1.27",7.78,False Positive
62,2.43,"286.81, 0.04, 1.27",11.13,False Positive
63,6.87,"273.59, -0.49, 1.27",6.83,False Positive
64,13.37,"284.52, 2.99, 1.27",4.84,False Positive
65,8.89,"283.15, -3.19, 1.27",4.48,True Positive
66,19.38,"276.16, -4.56, 1.27",2.71,True Positive
67,12.46,"284.18, 2.36, 1.27",4.21,True Positive
68,17.43,"282.25, -3.31, 1.27",1.47,False Negative
69,13.46,"271.68, 4.21, 1.27",6.06,False Positive
70,11.68,"275.32, -6.36, 1.27",4.51,True Positive
71,8.44,"282.49, -1.76, 1.27",4.85,True Positive
72,12.32,"274.7, -5.88, 1.27",4.03,True Positive
73,12.28,"281.46, -5.3, 1.27",3.45,True Positive
74,8.96,"281.32, -6.33, 1.27",5.68,True Positive
75,11.92,"272.47, 1.98, 1.27",3.83,True Positive
76,13.32,"282.07, 4.87, 1.27",6.72,False Positive
77,16.01,"283.21, 2.38, 1.27",4.23,True Positive
78,4.98,"285.34, -5.31, 1.27",8.93,False Positive
79,9.98,"286.67, -3.31, 1.27",3.21,True Positive
80,12.82,"275.36, -2.21, 1.27",0.36,False Negative
81,9.43,"275.4, -3.73, 1.27",4.01,True Positive
82,9.86,"279.44, 0.69, 1.27",3.92,True Positive
83,7.63,"277.01, -1.97, 1.27",5.97,True Positive
84,8.22,"282.45, -5.46, 1.27",5.92,True Positive
85,9.51,"277.94, -8.0, 1.27",6.51,False Positive
86,12.22,"284.88, -0.72, 1.27",1.14,False Negative
87,13.9,"277.26, 0.82, 1.27",2.67,True Positive
88,12.89,"278.29, -1.78, 1.27",0.09,False Negative
89,14.67,"280.95, -0.93, 1.27",0.92,False Negative
90,7.73,"285.84, -1.82, 1.27",5.71,True Positive
91,2.0,"281.13, -0.67, 1.27",11.45,False Positive
92,8.14,"286.22, 0.93, 1.27",5.74,True Positive
93,5.02,"275.31, -2.49, 1.27",8.71,False Positive
94,8.51,"278.23, -2.77, 1.27",4.92,True Positive
95,13.25,"291.8, 2.27, 1.27",4.12,True Positive
96,14.52,"277.55, -4.05, 1.27",2.21,True Positive
97,12.05,"283.08, -1.41, 1.27",0.45,False Negative
98,15.73,"290.08, 2.39, 1.27",4.24,True Positive
99,17.9,"284.82, -2.61, 1.27",0.77,False Negative
100,13.48,"278.2, 0.73, 1.27",2.58,True Positive
